Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-06-28,15149.04,26874.68,25175.5,23526.72,10469.52,15082.53,13748.0,1617.93,43277.780000000006,91368.0,1807.3,13447.38,1661.52,148630.50999999998,47231.1,1543.6000000000001,12125.039999999999,3720.7200000000003,24790.149999999998,28730.16,1379.97,14628.5,209309.4,1430.0,55925.75,893.84,12829.18,3210.0,41794.65,1696.68,18847.08,911922.2300000001
2019-07-01,15377.52,26759.879999999997,24653.3,23391.36,9950.76,15167.73,13923.0,1624.32,43720.18,89676.0,1797.0,13369.960000000001,1675.28,148645.28,47735.729999999996,1604.4,12111.359999999999,3708.1499999999996,24439.8,28993.829999999998,1356.84,14388.8,209160.0,1435.0,55798.25,908.68,12923.04,3025.5000000000005,41451.03,1771.56,18829.44,909372.9800000001
2019-07-02,15474.48,25786.949999999997,24494.4,23472.0,9691.380000000001,15306.18,13874.0,1633.5,44251.06,91571.04,1827.3500000000001,13467.92,1613.3600000000001,148645.28,48166.65,1584.0,12398.640000000001,3687.2000000000003,24834.809999999998,28871.16,1296.0,14537.55,209284.5,1410.0,56227.50000000001,898.2,12913.16,2913.0000000000005,42526.71,1724.3999999999999,18622.800000000003,913005.18
2019-07-03,15512.0,25818.519999999997,24516.100000000002,23575.68,9691.380000000001,15572.43,13947.5,1634.3999999999999,44693.46,91774.08,1841.3,13546.92,1546.28,148674.82,48949.11,1583.6000000000001,12387.24,3716.5299999999997,24954.16,29461.949999999997,1305.45,14591.949999999999,209334.3,1476.0,56627.00000000001,939.6,12913.16,2898.0,42526.71,1710.72,18799.199999999997,916519.5499999998
2019-07-05,15543.28,25956.28,24612.0,23558.399999999998,9549.9,15391.380000000001,13979.0,1631.07,44173.64,90691.2,1839.0,13540.6,1573.8,148733.9,48212.01,1576.8000000000002,12284.640000000001,3737.48,24950.309999999998,29528.219999999998,1314.18,14608.95,208911.0,1523.0,55874.75,932.4,12982.32,2908.5,42661.17,1731.2400000000002,18723.6,913234.02
2019-07-08,15618.56,25976.370000000003,24284.4,23434.56,9644.22,15442.5,13804.0,1623.78,43819.719999999994,90149.76,1835.35,13584.84,1558.3200000000002,148748.66999999998,47338.829999999994,1616.3999999999999,12186.6,3733.29,24857.91,29586.030000000002,1307.7,14619.150000000001,208811.4,1514.0,55951.25,921.36,13007.019999999999,2986.5,42354.9,1779.48,18809.28,910906.15
2019-07-09,15906.4,25631.97,24420.2,23382.72,10021.5,15384.990000000002,13117.999999999998,1618.11,44063.04,90420.48,1838.0500000000002,13588.0,1601.3200000000002,148733.9,47798.1,1654.0,12195.720000000001,3754.2400000000002,24997.28,30362.94,1285.83,14797.65,208736.69999999998,1525.0,55930.0,920.24,13016.900000000001,2998.4999999999995,41705.01,1837.08,18796.68,912040.55
2019-07-10,16139.28,25522.910000000003,24365.6,23590.079999999998,10045.08,15465.93,13443.499999999998,1633.41,44450.14,91841.76,1830.25,13543.76,1807.72,148763.44,47775.420000000006,1716.0,12204.84,3771.0,24863.3,30269.88,1314.8999999999999,14971.9,209110.2,1526.0,55624.0,955.68,12962.56,2905.5,42138.27,1928.16,19063.800000000003,915544.2700000003
2019-07-11,16008.56,25436.809999999998,24829.0,23708.159999999996,10280.880000000001,15549.0,13860.0,1642.86,44262.12,91097.28,1830.6,13622.76,1788.8,148778.21,45626.49,1739.1999999999998,12049.800000000001,3762.6200000000003,24930.289999999997,30690.06,1299.2400000000002,15062.85,209010.6,1557.0,54880.25,954.4,12962.56,2856.0,42078.51,1936.08,19076.4,913167.39
2019-07-12,16088.0,25735.29,25267.199999999997,23454.72,9667.8,15653.369999999999,13762.0,1662.93,43709.12,91638.72,1836.6999999999998,13670.16,1804.28,148792.97999999998,44906.4,1780.3999999999999,12004.199999999999,3762.6200000000003,25282.95,30588.54,1294.11,15152.95,209035.5,1561.0,54944.0,980.32,12937.86,2805.0,42280.200000000004,1973.16,19091.52,913124.0
